
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10005121 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ;67.783,20;150.000,00;54.82;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10005121
 10005122 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ;67.783,20;150.000,00;54.82;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10005122
 1444419970935 ;AC ;CRUZEIRO DO SUL ;ZONA RURAL ;ESTRADA DO CANELA FINA, N. SN, PARTE 19, DESMEMBRADA DO LOTE 174 ;119.496,43;250.000,00;52.21;Terreno, 0.00 de área total, 0.00 de área privativa, 1899.98 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419970935
 1444415405230 ;AC ;CRUZEIRO DO SUL ;Bairro AABB ; AVENIDA VITORIA REGIA, N. 0, Apto ., 1027 ;158.452,27;255.000,00;37.87;Casa, 0.00 de área total, 131.20 de área privativa, 257.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415405230
 1444416896521 ;AC ;CRUZEIRO DO SUL ;JARDIM PRIMAVERA ;RUA PROJETADA, N. SN, LT 21 QD 04 TIPO AC-3 ;296.398,94;477.000,00;37.87;Casa, 0.00 de área total, 98.60 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416896521
 1444420699441 ;AC ;CRUZEIRO DO SUL ;CENTRO ; AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ;323.118,35;507.000,00;36.27;Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420699441
 8444411200837 ;AC ;CRUZEIRO DO SUL ;TELEGRAFO ; RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16 ;190.000,00;190.000,00;0.00;Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411200837
 8444433039915 ;AC ;CRUZEIRO DO SUL ;CRUZEIRÃO ; RUA MATO GROSSO, N. SN, SETOR 04 B QD 243 B LT 07 ;209.000,00;209.000,00;0.00;Casa, 115.50 de área total, 115.50 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444433039915
 10005120 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10 ;576.872,93;150.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10005120
 8444400929075 ;AC ;PORTO ACRE ;CORONEL JOSE CANDIDO ; RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ;83.391,04;138.000,00;39.58;Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400929075
 10170137 ;AC ;RIO BRANCO ;MORADA DO SOL ;ESTRADA DA USINA, N. S/N, AO LADO DO RESIDENCIAL PORTALE ;184.553,63;465.000,00;60.32;Terreno, 0.00 de área total, 0.00 de área privativa, 618.61 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170137
 8444405294647 ;AC ;RIO BRANCO ;Novo Calafate ;RUA MADEIREIRA, N. 274, ;100.741,08;170.000,00;40.75;Casa, 78.00 de área total, 78.00 de área privativa, 252.70 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405294647
 1444407012594 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ;RUA VITAL BRASIL, N. 379, ;230.707,78;362.000,00;36.27;Casa, 155.66 de área total, 155.66 de área privativa, 139.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407012594
 1600000161288 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ; RUA BOA VISTA, N. SN, ;558.287,33;876.000,00;36.27;Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000161288
 1444406578888 ;AC ;RIO BRANCO ;PORTAL DA AMAZONIA ;ALAMEDA PIAPARA, N. SN, Apto 43, BL 4, VG 96 ;171.437,55;269.000,00;36.27;Apartamento, 116.25 de área total, 71.34 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406578888
 1444400380830 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ;377.290,07;592.000,00;36.27;Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400380830
 1444404149351 ;AC ;RIO BRANCO ;Santo Afonso I ;RUA JOSE MARCOS LEITE, N. SN, LT 10 QD 08 ;361.000,00;361.000,00;0.00;Casa, 136.76 de área total, 136.76 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404149351
 1444408125473 ;AC ;RIO BRANCO ;Floresta ;R GOV ARTHUR REIS, N. 446, CS27 QD03 ;311.000,00;311.000,00;0.00;Casa, 0.00 de área total, 144.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408125473
 1444409370650 ;AC ;RIO BRANCO ;LOT SANTO AFONSO I ;RUA NONATO CORREIA LIMA, N. SN, QD40 LT16 ;417.000,00;417.000,00;0.00;Casa, 129.42 de área total, 129.42 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409370650
 1555517980740 ;AC ;RIO BRANCO ;Conjunto Tangará ;RUA DOURADO (ANTIGA RUA 10), N. 445, N28 QD N ;173.000,00;173.000,00;0.00;Casa, 99.73 de área total, 106.50 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555517980740
 8444402235844 ;AC ;RIO BRANCO ;Novo Calafate ;TRAVESSA BOM JESUS, N. 73, 0, ;191.000,00;191.000,00;0.00;Casa, 63.50 de área total, 63.50 de área privativa, 261.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402235844
 1555537387646 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA EDUCANDOS, N. SN, ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 277.29 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537387646
