
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555502309312 ;AL ;ARAPIRACA ;CANAFISTULA ;RUA PROJETADA, N. 101, Apto ., LT 02 QD A ;166.577,93;311.783,49;46.58;Casa, 0.00 de área total, 174.95 de área privativa, 214.16 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555502309312
 8444406201928 ;AL ;ARAPIRACA ;BOA VISTA ;RUA PROJETADA A, N. 69, LT 14 ;99.378,11;172.000,00;42.23;Casa, 0.00 de área total, 83.25 de área privativa, 168.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406201928
 8444405479957 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA E, N. 53,  CS ;82.081,91;140.200,00;41.46;Casa, 99.30 de área total, 99.30 de área privativa, 160.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405479957
 8444425852297 ;AL ;ARAPIRACA ;SENADOR NILO COELHO ; RUA SOB CODIGO MUNICIPAL 0106/421, N. 50, E05 ;96.592,92;163.000,00;40.75;Casa, 60.01 de área total, 60.01 de área privativa, 181.90 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425852297
 8444404132082 ;AL ;ARAPIRACA ;MASSARANDUBA ;RUA FUNDADOR MANOEL ANDRE CORREIA DOS SANTOS, N. 205, LT 08, QD L ;98.963,30;167.000,00;40.75;Casa, 0.00 de área total, 68.05 de área privativa, 126.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404132082
 8444406760030 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ; RUA PROJETADA 05, N. 250, H12 ;82.786,76;137.000,00;39.58;Casa, 0.00 de área total, 87.07 de área privativa, 150.50 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406760030
 8444403135070 ;AL ;ARAPIRACA ;BOA VISTA ;R PROJETADA B, N. 120, LT 13 QD C ;120.278,29;199.000,00;39.56;Casa, 0.00 de área total, 84.24 de área privativa, 189.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403135070
 1444416321600 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA PROJETADA, N. 327,  LT 33 QD B ;93.402,34;153.000,00;38.96;Casa, 0.00 de área total, 61.15 de área privativa, 135.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416321600
 10214193 ;AL ;ARAPIRACA ;PRIMAVERA ;RUA MANOEL MARTINS LEMOS, N. 580 ;237.574,15;388.000,00;38.77;Galpão, 0.00 de área total, 234.85 de área privativa, 255.85 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10214193
 8555504185139 ;AL ;ARAPIRACA ;PLANALTO ;RUA ATENOR FEITOSA, N. 193, LT 08 ;111.168,79;180.000,00;38.24;Casa, 0.00 de área total, 71.08 de área privativa, 169.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555504185139
 8444405471964 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA F, N. 55, ;106.234,35;172.010,35;38.24;Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405471964
 8444404538437 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA G, N. 212, LT50 LOTEAMENTO RECANTO DA BOA VISTA ;116.443,31;185.000,00;37.06;Casa, 0.00 de área total, 94.40 de área privativa, 171.78 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404538437
 1444419033923 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA ANGELO SOBRINHO, N. 1023, LT 02B ;214.137,60;336.000,00;36.27;Casa, 0.00 de área total, 107.32 de área privativa, 197.52 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419033923
 1444417769027 ;AL ;ARAPIRACA ;CANAFISTULA ; RUA SOB O CÓDIGO MUNICIPAL 0114/171, N. 112, LT 10 QD A ;160.285,28;251.501,15;36.27;Casa, 98.83 de área total, 98.83 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417769027
 10137929 ;AL ;ARAPIRACA ;BOA VISTA ;RODOVIA AL 110/ ESQUINA RUA ADJALMA SILVA, N. S/N ;340.000,00;340.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 492.90 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137929
 8444402891997 ;AL ;ARAPIRACA ;BOA VISTA ;RUA EXISTENTE, N. 703, LT 03 QD E ;147.000,00;147.000,00;0.00;Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402891997
 8555524723098 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA PROJETADA 10, ROD AL-115, N. 38, 38, QD11 LT03 ;113.845,48;113.845,48;0.00;Casa, 42.15 de área total, 42.15 de área privativa, 126.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524723098
 8444421583135 ;AL ;ARAPIRACA ;CANAFISTULA ; RUA EM PROJETO B, N. S/N, LT 34, QD G ;122.704,38;115.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421583135
 1555531571917 ;AL ;ARAPIRACA ;CANAÃ ; RUA ANTONIO JUVINO DA SILVA, N. 332, ;119.042,19;110.000,00;0.00;Casa, 120.00 de área total, 120.00 de área privativa, 120.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531571917
 1444418382924 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA EM PROJETO H, N. S/N, LT 9 - QD H ;705.202,66;360.000,00;0.00;Casa, 0.00 de área total, 140.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418382924
 8555513904398 ;AL ;CORURIPE ;Alto do Cruzeiro ; RUA PROJETADA C, N. SN, AREA 59 ;145.728,47;238.000,00;38.77;Casa, 106.82 de área total, 106.82 de área privativa, 127.50 de área do terreno,  3 qto(s), varanda, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513904398
