
 Lista de Imóveis da Caixa;;Data de geração:;18/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555528096197 ;AM ;AUTAZES ;APARECIDA ;R JULIO LOBO, N. 173, ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 84.00 de área privativa, 812.42 de área do terreno,  4 qto(s), varanda, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528096197
 10147353 ;AM ;BORBA ;CENTRO ;AVENIDA SILVERIO NERY, N. S/N ;159.838,32;365.000,00;56.21;Loja, 0.00 de área total, 79.20 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147353
 8444412162815 ;AM ;BORBA ;IPIRANGA ;RUA PROJETADA (AV SILVÉRIO NERY), N. SN, LT 03 ;53.260,44;92.000,00;42.11;Casa, 0.00 de área total, 60.00 de área privativa, 126.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412162815
 8444406754986 ;AM ;BORBA ;CRISTO REI ;ESTRADA BORBA MAPIA, N. 1, CASA 01 ;73.179,40;92.000,00;20.46;Casa, 0.00 de área total, 63.00 de área privativa, 207.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406754986
 1555519582556 ;AM ;FONTE BOA ;CIDADE NOVA ;RUA BARNABE GOMES, N. SN, CS COMERCIAL COM 2 PAV ;137.086,30;239.000,00;42.65;Casa, 0.00 de área total, 215.00 de área privativa, 228.00 de área do terreno,  9 qto(s), WC, WC Emp, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555519582556
 1555526643620 ;AM ;GUAJARA ;CENTRO ;RUA ALONSO BARBOSA, N. SN, QD 37 LT 03 ;83.156,29;154.000,00;46.01;Casa, 0.00 de área total, 180.00 de área privativa, 1125.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526643620
 1555528590302 ;AM ;GUAJARA ;CENTRO ;AVENIDA LEOPOLDO CARLOS, N. S/N, QD 30 LT 05 ;52.722,88;97.000,00;45.65;Casa, 0.00 de área total, 80.00 de área privativa, 397.95 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528590302
 1555539716876 ;AM ;HUMAITA ;CENTRO ;RUA DAS FLORES, N. 2851,  BAIRRO SAO CRISTOVAO ;1.023.845,42;1.606.500,00;36.27;Casa, 1433.40 de área total, 162.74 de área privativa, 427.79 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555539716876
 1555537100673 ;AM ;HUMAITA ;São Cristóvão ; AVENIDA BRASIL, N. 1349, ;471.890,36;471.890,36;0.00;Casa, 294.14 de área total, 294.14 de área privativa, 370.00 de área do terreno,  8 qto(s), a.serv, WC, 5 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537100673
 1444408167141 ;AM ;IRANDUBA ;CENTRO ;RODOVIA CARLOS BRAGA  KM 05, N. SN, CS 03 ;114.996,74;212.000,00;45.76;Casa, 0.00 de área total, 69.00 de área privativa, 471.30 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408167141
 1444415218708 ;AM ;IRANDUBA ;CENTRO ;RODOVIA MANOEL URBANO (AM-070) KM 11, N. S/N, QD 41 LT 05 ;40.293,70;70.000,00;42.44;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415218708
 8787707810268 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA SANTA LUZIA, N. SN, LT 41, QD 18 ;94.815,14;160.000,00;40.75;Casa, 0.00 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707810268
 8787711531955 ;AM ;IRANDUBA ;LOT NOVA  AMAZONAS ;AVENIDA DO CALDEIRÃO, N. 8, QUADRA 39 ;93.333,65;157.500,00;40.75;Casa, 0.00 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711531955
 1787700136245 ;AM ;IRANDUBA ;CACAU PIRERA ;RUA CASTANHEIRA, N. 243,  QD J ;117.702,16;187.000,00;37.06;Casa, 115.82 de área total, 286.06 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700136245
 8787710874557 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA LAGO DO CACAU, N. SN, LT51 QD 31 ;188.000,00;188.000,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710874557
 8787710582220 ;AM ;IRANDUBA ;LOT NOVA  AMAZONAS ; RUA LAGO DO PATO, N. 07, QD 31 ;166.873,09;160.000,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710582220
 1444415711684 ;AM ;IRANDUBA ;LOT RES TROPICAL ; RODOVIA MANOEL URBANO (AM070), N. KM 11, LT 02 QD 39 GLEBA CACAU PIRERA ;202.642,99;60.600,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415711684
 8444402895178 ;AM ;ITACOATIARA ;IRACI ;RUA CLOTILDES PEREIRA DA COSTA, N. 3043, ;100.200,00;167.000,00;40.00;Casa, 172.74 de área total, 172.74 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402895178
 10171642 ;AM ;MANAUS ;CENTRO ;AVENIDA JOAQUIM NABUCO, N. 638 ;252.788,11;828.000,00;69.48;Loja, 0.00 de área total, 377.90 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171642
 8555513140002 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 204, BL 55 ;55.946,50;135.000,00;58.56;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513140002
 8555513268343 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 202, BL 25 ;56.775,34;137.000,00;58.56;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513268343
 8555502031916 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 103, BL 15 ;53.340,16;122.000,00;56.28;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502031916
