
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555528310709 ;MG ;ABRE CAMPO ;CENTRO ; RUA NOSSA SENHORA DE FÁTIMA, N. 64, Apto ., ;341.759,79;550.000,00;37.87;Casa, 0.00 de área total, 122.54 de área privativa, 122.54 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528310709
 8444407176757 ;MG ;AIMORES ;BETEL ; R ANTIÔQUIA QD G LT 19, N. S/N, ;52.102,60;90.000,00;42.11;Casa, 69.96 de área total, 69.96 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407176757
 1555530666140 ;MG ;ALEM PARAIBA ;PORTO NOVO ;RUA MANOEL VICENTE FERREIRA, N. 1, Apto 1A, . ;242.102,62;610.000,00;60.32;Apartamento, 0.00 de área total, 292.20 de área privativa, 0.00 de área do terreno, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530666140
 8444408863707 ;MG ;ALFENAS ;JARDIM PRIMAVERA ;ALAMEDA DAS MAGNOLIAS, N. 687, LT 42, QD 32 ;85.466,19;140.000,00;38.96;Casa, 0.00 de área total, 79.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408863707
 8787711570691 ;MG ;ALFENAS ;LOTEAMENTO MARTELLI ;RUA LEITE, N. 125, ;105.745,55;137.655,26;23.19;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711570691
 1555522015934 ;MG ;ALFENAS ;CENTRO ;RUA JOAO PAULINO DAMASCENO, N. 16, ;1.370.000,00;1.370.000,00;0.00;Comercial, 145.30 de área total, 145.30 de área privativa, 167.80 de área do terreno, WC Emp.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555522015934
 8009500026634 ;MG ;ALFENAS ;JARDIM BOA ESPERANCA ;RUA SAO MIGUEL, N. 718, ;190.000,00;190.000,00;0.00;Casa, 96.46 de área total, 96.46 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8009500026634
 1444420868740 ;MG ;ALFENAS ;JARDIM ALVORADA ;RUA ROSANE GARCIA RIBEIRO, N. 285, LT 07 QD S ;450.526,42;440.000,00;0.00;Casa, 141.90 de área total, 141.90 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420868740
 1444415285618 ;MG ;ALFENAS ;RESIDENCIAL SAO LUCAS ;RUA DONA GUIOMAR ESTEVES, N. 120, ;597.626,90;550.000,00;0.00;Casa, 182.00 de área total, 182.00 de área privativa, 300.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415285618
 1444409348506 ;MG ;ALMENARA ;CENTRO ;RUA CANDIDO MARES, N. 601, Apto 201, ;223.060,01;350.000,00;36.27;Apartamento, 94.93 de área total, 94.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409348506
 1555539999061 ;MG ;ALMENARA ;CENTRO ; R CANDIDO MARES, N. 601, Apto 1, CS 601 ;235.806,29;370.000,00;36.27;Apartamento, 0.00 de área total, 310.44 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555539999061
 8555532845040 ;MG ;ANDRADAS ;BAIRRO DA SOVIS ;AVENIDA ANTONIO GONCALVES, N. 2480, Apto 3, 1 PAV BL 6 UN33 ;99.075,29;196.000,00;49.46;Apartamento, 0.00 de área total, 50.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532845040
 8555534639596 ;MG ;ANDRADAS ;JARDIM MUTERLE ; R. CASSITERITA, N. 215, Apto P-13, BLOCO P-13, UNIDADE AUTÔNOMA P-13.4 ;96.000,33;162.000,00;40.75;Apartamento, 58.67 de área total, 49.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534639596
 10211829 ;MG ;ANGELANDIA ;CENTRO ;RUA CLEMENTE CELESTINO DE ALMEIDA, N. 167 ;236.288,31;385.900,00;38.77;Galpão, 0.00 de área total, 212.65 de área privativa, 418.23 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211829
 8444405226935 ;MG ;ARACUAI ;ALTO SANTUARIO ;RUA MATO GROSSO, N. SN, . ;96.809,49;165.000,00;41.33;Casa, 0.00 de área total, 99.20 de área privativa, 273.61 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405226935
 1444418273149 ;MG ;ARAGUARI ;CENTRO ;PRACA GAIOSO NEVES, N. 208, ;602.262,01;945.000,00;36.27;Casa, 0.00 de área total, 225.32 de área privativa, 357.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418273149
 10217580 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 20 ;115.000,00;115.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 216.08 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217580
 10217588 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 21 ;116.000,00;116.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 222.09 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217588
 10217589 ;MG ;ARAGUARI ;SEWA ;RUA A, N. S/N, QD 01 LT 22 LOT JARDIM MILANI ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 225.26 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217589
 10217590 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 23 ;126.000,00;126.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 220.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217590
 10217591 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 24 ;120.000,00;120.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 220.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217591
 8444428478213 ;MG ;ARAGUARI ;NOVO HORIZONTE ;RUA RIO DE JANEIRO, N. 600, LT 11-A QD 13 ;226.000,00;226.000,00;0.00;Casa, 100.85 de área total, 63.35 de área privativa, 172.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428478213
 1444417366950 ;MG ;ARAPORA ;RES PARIS PARK ; ALAMEDA JARDINS DE LUXEMBURGO, N. SN, LT 30 QD 05 ;175.000,00;175.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417366950
