
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444425865127 ;RO ;CACOAL ;PARQUE DOS LAGOS ;RUA MOREIAS, N. 97, QD 10 ;155.402,56;69.600,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 317.40 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425865127
 8444426893752 ;RO ;CANDEIAS DO JAMARI ;BAIRRO DAS FLORES ;RUA RUI BARBOSA, N. 504, . ;45.329,26;87.000,00;47.90;Casa, 0.00 de área total, 81.10 de área privativa, 223.24 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426893752
 1444420213778 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA ANA NERY, N. SN, LT03 ;157.588,84;397.059,69;60.32;Terreno, 0.00 de área total, 0.00 de área privativa, 4500.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420213778
 8444423500687 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA GIACOMO CASARA, N. SN, QD 28 LT 17 ST IV ;76.478,63;159.000,00;51.91;Casa, 0.00 de área total, 67.18 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423500687
 8444423500938 ;RO ;GUAJARA-MIRIM ;Setor IV ;AVENIDA GIACOMO CASARA, N. SN, LT 01  QD 28 ;63.473,77;115.000,00;44.81;Casa, 0.00 de área total, 67.18 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423500938
 8444402273193 ;RO ;GUAJARA-MIRIM ;Setor II ; ALAMEDA SÃO JOSÉ, N. 0, LT 19, QD 161, ST 2 ;68.787,97;120.000,00;42.68;Casa, 0.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402273193
 8444423500016 ;RO ;GUAJARA-MIRIM ;CENTRO ;TV FRANCISCO PINHEIRO, N. SN, LT 27 QD 94 ST 04 ;52.102,60;90.000,00;42.11;Terreno, 0.00 de área total, 0.00 de área privativa, 225.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423500016
 8444427218730 ;RO ;JARU ;RESID SAVANA PARK ;RUA LOCAL 01, N. S/N, LT 23-A, QD 4 ;180.666,23;180.666,23;0.00;Casa, 67.06 de área total, 67.06 de área privativa, 150.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427218730
 8444429794518 ;RO ;JI-PARANA ;JK ;RUA PAVAO, N. 2578, LT 01 H3B QD 100 ST 07-01-K ;127.531,25;211.000,00;39.56;Casa, 67.78 de área total, 67.78 de área privativa, 158.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429794518
 8444421997355 ;RO ;JI-PARANA ;COPAS VERDES ;RUA LAURO CELESTINO DE CARVALHO, N. 1157, QD 07 LT 11-A ;127.531,25;211.000,00;39.56;Casa, 79.68 de área total, 79.68 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421997355
 10206958 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, LT 1, ST 02, QD 04, LT 15 ;599.633,09;965.000,00;37.87;Terreno, 0.00 de área total, 0.00 de área privativa, 843.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10206958
 10206961 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, STR 02 01, QD 09,LT 15 ;493.376,86;794.000,00;37.87;Terreno, 0.00 de área total, 0.00 de área privativa, 585.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10206961
 10195647 ;RO ;JI-PARANA ;MUTIRAO ;RUA GARÇAS, N. 00, QD 06, LT 06 ;145.000,00;145.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 525.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10195647
 10197448 ;RO ;NOVA BRASILANDIA D'OESTE ;SETOR 03 ;AVENIDA PRESIDENTE TANCREDO NEVES, N. 2922, ST 03, QD 40, LT 210 ;210.732,17;413.320,75;49.02;Terreno, 0.00 de área total, 0.00 de área privativa, 450.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10197448
 10202885 ;RO ;OURO PRETO DO OESTE ;CENTRO ;RUA JOÃO WESLEY (ANTIGA MARGINAL IGARAPÉ), N. 00, ST 01, QD 31, LT 375 ;372.281,14;608.000,00;38.77;Terreno, 0.00 de área total, 0.00 de área privativa, 7273.85 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10202885
 10012277 ;RO ;PORTO VELHO ;PORTO VELHO ;RUA B, N. S/N, QD 07, LT 09, ST 51 ;87.272,83;495.000,00;82.37;Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10012277
 10207663 ;RO ;PORTO VELHO ;CASTANHEIRA ;RUA PIRACICABA, N. 5224, ST 29, QD 6, LT 40 ;243.084,89;397.000,00;38.77;Casa, 0.00 de área total, 194.64 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10207663
 8063280038161 ;RO ;PORTO VELHO ;AEROCLUBE ;RUA RIO BONITO, N. 1984, LT 0107,QD 48, ST 29 ;119.590,43;190.000,00;37.06;Casa, 130.60 de área total, 47.60 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8063280038161
 1444418039030 ;RO ;PORTO VELHO ;CENTRO ;RUA PRUDENTE DE MORAES, N. 2566, LT 0762 QD 036 SETOR 003 ;402.272,79;631.200,00;36.27;Casa, 157.21 de área total, 157.21 de área privativa, 157.21 de área do terreno, WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418039030
 8444418306070 ;RO ;PORTO VELHO ;CONCEICAO ;RUA RIO GRANDE DO SUL, N. SN, LOTE 0076, QUADRA 112, SETOR 028 ;207.127,15;325.000,00;36.27;Casa, 167.15 de área total, 167.15 de área privativa, 272.83 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418306070
 1444418713378 ;RO ;PORTO VELHO ;AEROCLUBE ;RUA BARLAVENTO, N. 229, QD 33 ;176.536,06;277.000,00;36.27;Casa, 0.00 de área total, 60.87 de área privativa, 60.87 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418713378
 8555507847280 ;RO ;PORTO VELHO ;TRIANGULO ;ESTRADA SANTO ANTONIO, N. 4037, Apto 404, BL H, 3º PAV, ;211.000,00;211.000,00;0.00;Apartamento, 0.00 de área total, 56.16 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507847280
