
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555512196944 ;RS ;AGUDO ;CENTRO ;AVENIDA CONCORDIA, N. 221, QD F 13 LT 01 ;873.987,69;1.735.000,00;49.63;Comercial, 0.00 de área total, 627.30 de área privativa, 2237.70 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512196944
 8444409668193 ;RS ;ALEGRETE ;CAPAO DO ANGICO ;RUA LARANJEIRA, N. 380, LT 02, QD F6 ;171.341,95;283.000,00;39.46;Casa, 0.00 de área total, 146.57 de área privativa, 285.20 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409668193
 1444408525455 ;RS ;ALVORADA ;APARECIDA ;RUA ENI DAVILA FRAGOSO, N. 22, CASA ;46.754,21;151.800,00;69.21;Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408525455
 8444417611987 ;RS ;ALVORADA ;UMBU ;RUA TUPA, N. 545, Apto 207 ;42.277,78;134.000,00;68.45;Apartamento, 0.00 de área total, 40.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417611987
 8444404248668 ;RS ;ALVORADA ;UMBU ;RUA TRINTA ( ATUAL RUA SELVA DE PEDRA ), N. 72, Apto 204, QD 61 LT 12 ;31.708,66;96.000,00;66.98;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404248668
 8444425231314 ;RS ;ALVORADA ;UMBU ;RUA TREZE, N. 261, QD J-1, LT 04, CS 03 ;59.853,71;150.000,00;60.10;Casa, 0.00 de área total, 45.60 de área privativa, 92.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425231314
 8444414919123 ;RS ;ALVORADA ;UMBU ;Rua 27 Qd-59 Lt-16 9atual R. Dezessesis Unidos), N. 66, Apto 404, c/ Rua 28 ;31.410,97;70.000,00;55.13;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414919123
 1444408612129 ;RS ;ALVORADA ;UMBU ;RUA ONZE, N. 32, Apto 101, QUADRA 42 LOTE 1 ;52.792,36;114.000,00;53.70;Apartamento, 41.12 de área total, 39.36 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408612129
 8444416514244 ;RS ;ALVORADA ;TIJUCA ;RUA SOUZA LOBO, N. 56, Apto 02,  . ;81.379,36;175.000,00;53.50;Casa, 0.00 de área total, 48.18 de área privativa, 115.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416514244
 8444402155336 ;RS ;ALVORADA ;UMBU ;RUA TRINTA E DOIS, N. 137, Apto 202, . ;57.009,90;114.000,00;50.00;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402155336
 8444413299660 ;RS ;ALVORADA ;UMBU ;RUA TRINTA E UM, N. 118, Apto 402 ;56.255,41;112.000,00;49.78;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413299660
 8444419518399 ;RS ;ALVORADA ;VL MORUMBY ;RUA JOSE LINS DO REGO, N. 1286, CASA 02 ;75.430,98;150.000,00;49.72;Casa, 0.00 de área total, 45.84 de área privativa, 87.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419518399
 8444423287959 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA R CENTO E CINQUENTA E QUATRO, N. 181, Apto 203, LT 52 QD E18 ;77.945,34;155.000,00;49.72;Apartamento, 0.00 de área total, 42.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423287959
 8444430152613 ;RS ;ALVORADA ;MARIA REGINA ;RUA 16 UNIDOS (ANTIGA RUA 27), N. 85, Apto 403, ANTIGO NUM 83 ;51.645,42;102.500,00;49.62;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444430152613
 8555526806675 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA JOZINO LIOTTI (ANTIGA RUA UM), N. 601, CS 576 ;104.635,64;207.000,00;49.46;Casa, 0.00 de área total, 51.46 de área privativa, 156.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526806675
 8444418568325 ;RS ;ALVORADA ;UMBU ;RUA DEZ, N. 545, Apto 104, LT 33, QD N-1 ;63.191,15;125.000,00;49.45;Apartamento, 0.00 de área total, 40.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418568325
 8444417829907 ;RS ;ALVORADA ;UMBU ;RUA CARAMURU ANTIGA RUA 21, N. 129, Apto 3, . ;72.357,86;140.000,00;48.32;Apartamento, 0.00 de área total, 35.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417829907
 8444429583665 ;RS ;ALVORADA ;UMBU ;RUA AMAPA, N. 107, Apto 201, . ;77.009,44;149.000,00;48.32;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429583665
 8444412764793 ;RS ;ALVORADA ;UMBU ;RUA 26, N. 267, CS 01, LT 04, QD N-3 ;52.102,60;100.000,00;47.90;Casa, 0.00 de área total, 31.50 de área privativa, 150.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412764793
 8444422417581 ;RS ;ALVORADA ;APARECIDA ;RUA ROMILDA AMORIM, N. 251, Apto 102, . ;83.750,18;160.000,00;47.66;Apartamento, 0.00 de área total, 42.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422417581
 8444429364947 ;RS ;ALVORADA ;UMBU ;RUA AMAPA, N. 107, Apto 202, LT 05, QD F-1 ;83.750,18;160.000,00;47.66;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429364947
 8444418515493 ;RS ;ALVORADA ;TIJUCA ;RUA SILVEIRA MARTINS, N. 260, Apto 260, BL O ;57.442,11;109.000,00;47.31;Apartamento, 0.00 de área total, 39.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418515493
