
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10177903 ;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;197.834,17;540.000,00;63.37;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
 10206716 ;SP ;ADAMANTINA ;1 ;RUA PERU, N. 249, Apto 23, JD TRES MARIAS ;410.244,02;670.000,00;38.77;Apartamento, 0.00 de área total, 167.60 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10206716
 8444405322578 ;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;153.487,18;250.671,32;38.77;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405322578
 1444408171750 ;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO MISSISSIPI, N. 315, LT 31 QD 21 ;176.854,71;300.000,00;41.05;Casa, 0.00 de área total, 178.15 de área privativa, 1010.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408171750
 10215795 ;SP ;AGUAS DE SANTA BARBARA ;THERMAS DE SANTA BARBARA ;RUA 161, N. 00, QD DV, LT 30, ESQUINA COM RUA 186 ;303.600,00;506.000,00;40.00;Casa, 0.00 de área total, 143.65 de área privativa, 432.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215795
 8444420371410 ;SP ;AGUDOS ;PARQUE PAMPULHA ;RUA BUDAPEST, N. 556, QD 56 LT 15 ;99.555,89;168.000,00;40.75;Casa, 0.00 de área total, 60.60 de área privativa, 187.50 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420371410
 8444415793220 ;SP ;AGUDOS ;PARQUE PAMPULHA ; RUA BUDAPEST, N. 110, LT C04 QD 36 ;163.000,00;163.000,00;0.00;Casa, 48.01 de área total, 48.01 de área privativa, 192.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415793220
 1444401811630 ;SP ;AGUDOS ;RESIDENCIAL PARQUE SMERALDA ;AVENIDA HANNA ASSAD AYUB, N. 9, QD R ;275.726,57;221.100,00;0.00;Terreno, 116.93 de área total, 0.00 de área privativa, 425.47 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401811630
 8444424462908 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA PROFESSOR JOAO CASSIANO, N. 270, 0613 ;136.827,31;186.000,00;26.44;Casa, 52.00 de área total, 52.00 de área privativa, 210.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424462908
 8444402715196 ;SP ;ALVARES MACHADO ;CONJ ALVARES MACHADO ;RUA LUIZ GONZAGA OLIVEIRA  ANTIGO, N. 139, Apto ., LT 30 QD E ;83.709,29;178.000,00;52.98;Casa, 0.00 de área total, 140.00 de área privativa, 170.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402715196
 8444426252757 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL U ; JOAO DE AZEVEDO SOARES, N. SN, LT 10B ;24.979,16;43.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426252757
 8444427667764 ;SP ;ALVARES MACHADO ;ALVARES MACHADO ;RUA THEREZA MENDES VALERIO, N. S/N, LT 01A, QD L ;41.825,56;72.000,00;41.91;Casa, 0.00 de área total, 51.24 de área privativa, 129.95 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427667764
 8444427686050 ;SP ;ALVARES MACHADO ;ALVARES MACHADO ; AVENIDA CASTRO ALVES, N. S/N, LT 42A, QD P ;43.055,41;74.117,10;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 154.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427686050
 8444428043020 ;SP ;ALVARES MACHADO ;ALVARES MACHADO ;RUA VEREADOR JOSE YUITI HIGUTI, N. SN, LT 05-B, QD J ;25.560,07;44.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428043020
 8444427293465 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA JOAO DA SILVA, N. 329, 329, LOTE  E1-B ;166.183,75;56.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 126.21 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427293465
 8444409326268 ;SP ;ALVARO DE CARVALHO ;CENTRO ;RUA ANTONIO PANTAROTO, N. 27, LT 19 QD 2AP ;39.385,96;80.000,00;50.77;Casa, 0.00 de área total, 54.50 de área privativa, 290.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409326268
 8444423495632 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, 3 PAVIMENTO BL 03 VG N 973 ;98.192,93;165.700,00;40.75;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423495632
 8444424367352 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 19 VAGA 674 ;102.329,41;172.680,30;40.75;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424367352
 8787702650246 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, 2º PAVIMENTO - BLOCO 02 ;106.776,34;180.184,46;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702650246
 8787707583482 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 203,  BL 21 ;99.059,89;167.163,00;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707583482
 8787710779864 ;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 31, BL C ;94.815,14;160.000,00;40.75;Apartamento, 66.39 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710779864
 8444432535960 ;SP ;AMERICANA ;JARDIM RECANTO ;VIA FRANCISCO BOLDRINI, N. 100, Apto 204, BL 48 - MATRICULA ANTIGA VIA PROJETAD ;102.460,18;172.900,96;40.75;Apartamento, 74.71 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432535960
